Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
68,Jaylen Brown,SF,27,BOS,53,53,33.5,8.6,17.3,.499,2.0,5.7,.347,6.7,11.6,.574,.556,3.1,4.3,.715,1.1,4.5,5.5,3.7,1.1,0.5,2.5,2.7,22.3,brownja02
69,Kendall Brown,SG,20,IND,5,0,4.0,0.6,1.2,.500,0.0,0.2,.000,0.6,1.0,.600,.500,0.8,1.2,.667,0.4,0.0,0.4,0.4,0.0,0.0,0.0,0.8,2.0,brownke03
70,Kobe Brown,PF,24,LAC,32,0,8.7,0.7,1.9,.371,0.4,1.2,.308,0.3,0.7,.478,.468,0.0,0.1,.500,0.3,1.1,1.4,0.5,0.2,0.1,0.2,1.3,1.8,brownko01
71,Moses Brown,C,24,POR,9,4,9.1,1.0,2.3,.429,0.0,0.0,,1.0,2.3,.429,.429,0.0,0.4,.000,2.0,3.1,5.1,0.2,0.2,0.3,0.4,1.2,2.0,brownmo01
72,Troy Brown Jr.,SF,24,TOT,42,3,11.5,1.5,3.4,.430,0.9,2.4,.364,0.6,1.0,.581,.556,0.5,0.6,.875,0.4,1.7,2.1,1.0,0.2,0.0,0.5,0.7,4.3,browntr01
72,Troy Brown Jr.,SF,24,MIN,37,3,11.1,1.4,3.2,.441,0.8,2.3,.369,0.6,0.9,.618,.572,0.5,0.6,.864,0.4,1.6,1.9,0.9,0.2,0.1,0.5,0.7,4.2,browntr01
72,Troy Brown Jr.,SF,24,DET,5,0,14.8,1.8,4.8,.375,1.0,3.0,.333,0.8,1.8,.444,.479,0.4,0.4,1.000,0.4,2.8,3.2,1.2,0.2,0.0,0.6,1.0,5.0,browntr01
73,Jalen Brunson,PG,27,NYK,55,55,36.0,9.8,20.5,.478,2.7,6.6,.403,7.1,13.9,.513,.543,5.5,6.5,.845,0.6,3.2,3.7,6.7,1.0,0.2,2.5,2.0,27.7,brunsja01
74,Thomas Bryant,C,26,MIA,25,3,10.4,1.8,3.1,.571,0.0,0.2,.000,1.8,2.9,.603,.571,0.7,0.9,.818,1.0,2.1,3.1,0.6,0.2,0.2,0.6,1.0,4.2,bryanth01
75,Kobe Bufkin,SG,20,ATL,7,0,8.0,1.0,3.0,.333,0.4,1.6,.273,0.6,1.4,.400,.405,0.1,0.3,.500,0.3,1.0,1.3,1.3,0.4,0.1,0.3,0.4,2.6,bufkiko01
76,Reggie Bullock,SF,32,HOU,24,0,9.1,0.9,2.1,.412,0.7,1.7,.400,0.2,0.5,.455,.569,0.0,0.0,1.000,0.1,1.3,1.4,0.4,0.2,0.1,0.3,0.5,2.5,bullore01
77,Alec Burks,SG,32,TOT,50,1,20.7,3.6,9.5,.382,2.2,5.6,.391,1.4,3.9,.369,.498,2.6,2.9,.884,0.4,2.1,2.5,1.5,0.4,0.2,0.8,1.4,12.1,burksal01
77,Alec Burks,SG,32,DET,43,0,21.0,3.7,9.4,.394,2.3,5.7,.401,1.4,3.7,.384,.516,2.8,3.1,.903,0.4,2.2,2.6,1.6,0.5,0.3,0.7,1.5,12.6,burksal01
77,Alec Burks,SG,32,NYK,7,1,18.9,3.1,10.0,.314,1.6,4.9,.324,1.6,5.1,.306,.393,1.1,1.7,.667,0.4,1.4,1.9,0.9,0.1,0.1,1.3,1.0,9.0,burksal01
78,Jared Butler,SG,23,WAS,21,0,7.8,1.5,2.8,.552,0.5,1.3,.370,1.0,1.5,.710,.638,0.6,0.7,.800,0.0,0.6,0.6,1.7,0.4,0.1,0.7,0.9,4.1,butleja02
79,Jimmy Butler,PF,34,MIA,39,39,33.7,6.7,13.3,.504,1.0,2.2,.448,5.7,11.1,.515,.541,7.0,8.2,.859,2.0,3.5,5.5,4.7,1.4,0.4,1.7,1.1,21.5,butleji01
80,Jamal Cain,PF,24,MIA,16,1,14.1,1.8,4.3,.420,0.5,1.6,.308,1.3,2.7,.488,.478,1.1,1.4,.783,0.8,1.2,2.0,0.3,0.6,0.3,0.3,1.1,5.3,cainja01
81,Kentavious Caldwell-Pope,SG,30,DEN,53,53,31.7,3.4,7.8,.438,1.4,3.8,.375,2.0,4.0,.498,.529,1.6,1.8,.916,0.4,1.9,2.4,2.3,1.3,0.4,1.0,1.8,9.9,caldwke01
82,Toumani Camara,PF,23,POR,56,36,23.7,2.6,6.1,.433,0.8,2.4,.309,1.9,3.7,.515,.494,1.0,1.4,.734,1.9,2.9,4.8,1.1,1.0,0.4,1.2,2.5,7.1,camarto01
83,Clint Capela,C,29,ATL,50,50,25.4,4.7,8.3,.563,0.0,0.0,,4.7,8.3,.563,.563,1.8,2.7,.650,4.7,5.7,10.5,0.9,0.6,1.5,0.9,2.4,11.1,capelca01
84,Jevon Carter,PG,28,CHI,55,0,13.7,1.9,5.2,.368,1.1,3.4,.332,0.8,1.8,.436,.476,0.1,0.1,.600,0.1,0.7,0.8,1.2,0.5,0.2,0.5,1.0,5.0,carteje01
85,Wendell Carter Jr.,C,24,ORL,33,27,26.1,4.3,7.8,.544,1.2,2.9,.411,3.1,5.0,.622,.620,1.8,2.6,.718,1.8,4.8,6.6,1.6,0.5,0.5,1.2,2.4,11.6,cartewe01
86,D.J. Carton,SG,23,TOR,1,0,4.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,1.0,1.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,cartodj01
87,Alex Caruso,SG,29,CHI,50,37,27.2,3.5,7.3,.474,1.7,4.4,.386,1.8,2.9,.607,.590,1.1,1.5,.781,1.0,2.8,3.7,2.8,1.5,1.1,1.4,2.6,9.8,carusal01
88,Colin Castleton,C,23,LAL,7,0,5.1,1.0,1.4,.700,0.0,0.0,,1.0,1.4,.700,.700,0.6,0.6,1.000,0.6,0.7,1.3,0.4,0.0,0.0,0.1,1.0,2.6,castlco01
89,Malcolm Cazalon,SG,22,DET,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cazalma01
90,Julian Champagnie,SF,22,SAS,52,37,16.8,1.9,4.8,.398,1.2,3.4,.360,0.7,1.4,.493,.526,0.8,0.9,.796,0.6,2.0,2.6,1.2,0.6,0.6,0.6,1.1,5.8,champju02
91,Justin Champagnie,SF,22,WAS,2,0,5.0,2.5,3.5,.714,0.5,1.5,.333,2.0,2.0,1.000,.786,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,5.5,champju01
92,Max Christie,SG,20,LAL,46,7,17.1,1.8,4.3,.423,0.7,2.1,.351,1.1,2.2,.495,.510,0.7,0.9,.780,0.3,2.3,2.6,1.1,0.4,0.3,0.7,1.2,5.0,chrisma02
93,Sidy Cissoko,SF,19,SAS,5,0,6.4,0.2,1.2,.167,0.0,0.8,.000,0.2,0.4,.500,.167,0.8,0.8,1.000,0.0,1.2,1.2,0.0,0.6,0.0,0.2,0.4,1.2,cissosi01
94,Jordan Clarkson,SG,31,UTA,49,19,30.2,6.1,14.7,.413,1.7,5.6,.297,4.4,9.1,.484,.469,3.3,3.7,.880,0.9,2.4,3.4,5.0,0.6,0.1,2.7,1.4,17.1,clarkjo01
95,Nic Claxton,C,24,BRK,48,48,29.3,5.3,8.4,.626,0.0,0.1,.250,5.3,8.3,.630,.627,1.4,2.5,.568,2.8,7.1,9.9,1.9,0.6,2.2,1.2,2.5,12.0,claxtni01
96,Noah Clowney,PF,19,BRK,7,0,9.9,1.6,2.6,.611,0.1,0.6,.250,1.4,2.0,.714,.639,0.9,0.9,1.000,0.9,1.0,1.9,0.9,0.0,0.1,0.4,0.7,4.1,clownno01
97,Amir Coffey,SF,26,LAC,44,8,18.4,2.2,4.0,.534,0.8,2.0,.425,1.3,2.1,.637,.638,1.0,1.1,.894,0.4,1.3,1.7,0.8,0.5,0.1,0.4,1.3,6.1,coffeam01
98,John Collins,PF,26,UTA,55,53,27.8,5.6,10.8,.518,1.2,3.5,.337,4.4,7.3,.603,.572,1.9,2.3,.791,2.3,6.1,8.4,1.2,0.6,0.9,1.5,2.8,14.2,collijo01
99,Zach Collins,C,26,SAS,47,24,23.6,4.4,9.2,.475,0.9,3.0,.289,3.5,6.2,.566,.522,1.7,2.3,.750,1.7,3.7,5.4,3.0,0.5,0.7,2.0,3.1,11.3,colliza01
100,Mike Conley,PG,36,MIN,53,53,28.7,3.6,8.1,.450,2.3,5.2,.449,1.3,2.8,.450,.595,1.1,1.2,.923,0.4,2.4,2.8,6.2,1.0,0.2,1.1,1.6,10.7,conlemi01
101,Pat Connaughton,SF,31,MIL,53,2,21.4,1.9,4.2,.464,1.1,2.9,.383,0.8,1.3,.647,.597,0.4,0.5,.690,0.7,2.7,3.3,2.0,0.5,0.2,0.6,1.2,5.4,connapa01
102,Bilal Coulibaly,SF,19,WAS,56,8,26.7,2.9,6.7,.442,1.0,2.8,.357,2.0,3.9,.502,.516,1.3,2.0,.682,0.9,3.1,4.0,1.7,0.9,0.8,1.4,2.1,8.2,coulibi01
103,Ricky Council IV,SG,22,PHI,18,0,9.7,2.0,3.9,.507,0.2,0.9,.250,1.8,3.1,.582,.535,2.2,2.9,.769,0.7,1.4,2.1,0.4,0.1,0.0,0.2,0.4,6.4,councri01
104,Robert Covington,SF-PF,33,TOT,29,6,16.8,1.5,3.4,.439,0.7,1.9,.339,0.8,1.4,.571,.536,0.8,0.9,.846,1.1,2.3,3.3,0.8,1.3,0.6,0.4,1.9,4.4,covinro01
104,Robert Covington,PF,33,LAC,3,3,23.0,1.0,3.0,.333,0.7,2.7,.250,0.3,0.3,1.000,.444,0.3,0.7,.500,0.7,2.0,2.7,2.3,2.0,0.7,0.0,2.3,3.0,covinro01
104,Robert Covington,SF,33,PHI,26,3,16.1,1.5,3.4,.449,0.7,1.8,.354,0.9,1.6,.561,.545,0.8,0.9,.875,1.1,2.3,3.4,0.7,1.3,0.6,0.4,1.9,4.5,covinro01
105,Torrey Craig,SF,33,CHI,33,8,21.0,2.2,5.1,.425,1.1,3.0,.374,1.0,2.1,.500,.536,0.6,0.8,.778,1.7,3.1,4.7,1.1,0.6,0.5,0.6,2.3,6.1,craigto01
106,Jae Crowder,PF,33,MIL,28,12,25.0,2.4,5.5,.432,1.3,3.6,.356,1.1,1.9,.574,.548,0.6,0.9,.667,0.5,3.2,3.7,1.6,0.8,0.2,0.5,1.6,6.6,crowdja01
107,Jalen Crutcher,PG,24,NOP,1,0,3.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,crutcja01
